,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
1,372116,2023-08-30 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,5,2,0.0,0.0,12158,2,2,0.0,6,True,33.30958904109589
43,554691,2023-08-03 14:30:00,6,4,2041,3.0,1,0,1,0,0,0,1,2,0,0.0,0.0,10787,7,4,1.0,6,False,29.553424657534247
55,554691,2023-01-05 13:30:00,6,6,2677,3.0,3,0,1,0,0,0,1,2,0,0.0,0.0,10577,7,8,6.0,6,True,28.97808219178082
70,946507,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,7,0,0.0,0.0,7683,1,29,0.0,6,True,21.04931506849315
73,946507,2023-01-12 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,7,0,0.0,0.0,7680,2,29,0.0,6,True,21.041095890410958
98,541224,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,10205,8,29,0.0,6,True,27.958904109589042
126,25913,2023-03-26 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,13963,5,7,1.0,6,False,38.25479452054795
162,25913,2023-03-24 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,13961,4,7,1.0,6,False,38.24931506849315
187,25913,2023-03-27 16:00:00,40,0,848,3.0,3,1,1,0,0,0,1,0,2,0.0,0.0,13964,5,7,1.0,6,False,38.25753424657534
220,1101871,2023-08-15 09:00:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13965,1,1094,0.0,6,False,38.26027397260274
221,1101871,2023-08-14 09:00:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13964,1,1094,0.0,6,False,38.25753424657534
222,1101871,2023-07-23 14:30:00,35,0,237,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13942,1,13,0.0,6,False,38.1972602739726
223,1101871,2023-06-11 08:30:00,35,35,3562,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,13900,2,42,1.0,6,True,38.082191780821915
224,1101871,2023-06-10 13:30:00,35,35,3562,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,13899,1,42,0.0,6,True,38.07945205479452
234,1101871,2023-06-29 11:00:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13918,1,41,0.0,6,False,38.131506849315066
235,1101871,2023-06-10 08:30:00,35,35,3562,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,13899,1,42,0.0,6,True,38.07945205479452
243,1101871,2023-07-25 14:30:00,35,0,237,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13944,9,4083,0.0,6,False,38.202739726027396
244,1101871,2023-07-20 14:30:00,35,30,3083,3.0,1,0,1,0,9,0,1,8,0,0.0,0.0,13939,1,30,0.0,6,False,38.18904109589041
249,1101871,2023-07-21 09:30:00,35,0,3083,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13940,1,41,0.0,6,False,38.19178082191781
250,1101871,2023-06-30 09:30:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,13919,1,41,0.0,6,False,38.134246575342466
254,1183927,2023-08-15 09:00:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,8863,8,1094,4.0,6,False,24.28219178082192
277,1183927,2023-07-25 14:30:00,35,0,237,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,8842,3,4083,0.0,6,False,24.224657534246575
278,1183927,2023-07-20 14:30:00,35,30,3083,3.0,1,0,1,0,9,0,1,8,2,0.0,0.0,8837,9,30,0.0,6,False,24.21095890410959
286,1271974,2023-08-15 09:00:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9607,10,1094,0.0,6,False,26.32054794520548
316,1271974,2023-07-25 14:30:00,35,0,237,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9586,10,4083,0.0,6,False,26.263013698630136
342,1198871,2023-07-25 09:30:00,41,30,3083,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8052,11,30,0.0,6,False,22.06027397260274
343,1198871,2023-07-23 09:30:00,41,0,237,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,8050,11,29,0.0,6,False,22.054794520547944
365,1046601,2023-07-25 09:30:00,41,30,3083,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,11869,5,30,0.0,6,False,32.51780821917808
366,1046601,2023-07-23 09:30:00,41,0,237,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,11867,5,29,0.0,6,False,32.512328767123286
418,580986,2023-07-11 06:30:00,161,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9764,4,45,0.0,6,False,26.75068493150685
430,580986,2023-07-15 14:00:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9768,1,33,0.0,6,False,26.76164383561644
431,580986,2023-07-11 10:15:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9764,4,33,0.0,6,False,26.75068493150685
435,580986,2023-07-15 06:30:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9768,1,188,0.0,6,False,26.76164383561644
461,1274047,2023-07-10 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12539,10,33,0.0,6,True,34.35342465753425
514,1275733,2023-07-11 10:15:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9143,11,33,0.0,6,False,25.04931506849315
517,1275733,2023-07-11 06:30:00,161,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9143,11,45,0.0,6,False,25.04931506849315
521,1198920,2023-06-24 08:00:00,161,161,3541,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11295,8,205,0.0,6,True,30.945205479452056
538,1198920,2023-07-11 06:30:00,161,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11312,9,45,0.0,6,False,30.991780821917807
546,1318875,2023-06-24 08:00:00,161,161,3541,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14048,3,205,0.0,6,True,38.487671232876714
551,1318875,2023-07-15 06:30:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14069,3,188,0.0,6,False,38.54520547945206
553,1318875,2023-07-12 06:30:00,161,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14066,2,45,1.0,6,False,38.536986301369865
555,1318875,2023-07-15 14:00:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14069,3,33,0.0,6,False,38.54520547945206
556,1318875,2023-07-11 10:15:00,161,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14065,3,33,1.0,6,False,38.534246575342465
559,1318875,2023-07-11 06:30:00,161,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14065,3,45,0.0,6,False,38.534246575342465
574,1275736,2023-05-05 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9186,8,185,2.0,6,False,25.167123287671235
577,1275736,2023-05-06 11:30:00,45,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,9187,1,18,2.0,6,False,25.16986301369863
578,1275736,2023-05-04 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9185,3,185,0.0,6,False,25.164383561643834
583,1233046,2023-07-12 14:00:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12549,1,33,0.0,6,True,34.38082191780822
590,1233046,2023-08-18 13:30:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12586,1,188,0.0,6,False,34.48219178082192
592,1233046,2023-08-20 11:30:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12588,1,188,0.0,6,False,34.487671232876714
593,1233046,2023-08-19 06:00:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12587,1,188,1.0,6,False,34.484931506849314
594,1233046,2023-07-16 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12553,1,33,1.0,6,True,34.391780821917806
596,1233046,2023-07-13 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12550,1,161,0.0,6,True,34.38356164383562
597,1233046,2023-07-10 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12547,2,33,1.0,6,True,34.37534246575343
600,1233044,2023-07-12 14:00:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12660,6,33,1.0,6,True,34.68493150684932
620,1233044,2023-05-05 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,12592,7,185,0.0,6,False,34.4986301369863
625,1233044,2023-08-20 11:30:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12699,6,188,2.0,6,False,34.79178082191781
627,1233044,2023-08-19 06:00:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12698,6,188,0.0,6,False,34.78904109589041
629,1233044,2023-05-06 11:30:00,45,18,3632,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12593,4,18,0.0,6,False,34.5013698630137
630,1233044,2023-05-05 17:30:00,45,18,3632,3.0,3,0,1,0,0,0,1,8,0,0.0,0.0,12592,5,18,0.0,6,False,34.4986301369863
631,1233044,2023-05-04 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,12591,5,185,0.0,6,False,34.49589041095891
638,1233044,2023-07-13 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12661,5,161,3.0,6,True,34.68767123287671
640,1233044,2023-07-10 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,12658,6,33,0.0,6,True,34.679452054794524
651,1269467,2023-05-05 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,9,2,0.0,0.0,13608,6,185,0.0,6,False,37.28219178082192
653,1269467,2023-05-06 11:30:00,45,18,3632,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,13609,5,18,0.0,6,False,37.28493150684932
654,1269467,2023-05-05 17:30:00,45,18,3632,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,13608,6,18,0.0,6,False,37.28219178082192
657,1269467,2023-07-13 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,13677,4,161,1.0,6,True,37.47123287671233
660,1314048,2023-07-12 14:00:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12882,5,33,0.0,6,True,35.293150684931504
671,1314048,2023-08-20 11:30:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12921,2,188,1.0,6,False,35.4
673,1314048,2023-08-19 06:00:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12920,7,188,1.0,6,False,35.397260273972606
676,1314048,2023-07-10 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12880,1,33,0.0,6,True,35.28767123287671
681,580989,2023-05-20 09:00:00,204,0,1988,3.0,1,1,1,0,0,0,1,1,2,0.0,0.0,11492,9,131,0.0,6,False,31.484931506849314
712,1263727,2023-07-25 09:30:00,41,30,3083,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,7771,8,30,1.0,6,False,21.29041095890411
752,1218731,2023-08-15 09:00:00,35,0,1123,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,10993,11,1094,0.0,6,False,30.117808219178084
848,917063,2023-08-14 13:00:00,1094,0,1123,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9221,3,35,0.0,6,False,25.263013698630136
881,337790,2023-08-30 16:00:00,3,3,302,3.0,3,0,1,0,0,0,1,7,2,0.0,0.0,12622,3,2,2.0,6,True,34.58082191780822
892,265564,2023-03-28 16:00:00,3,3,508,3.0,3,0,1,0,0,0,1,1,0,0.0,0.0,12294,7,4,0.0,6,True,33.68219178082192
1077,1122853,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,0,2,0.0,0.0,8750,5,29,0.0,6,True,23.972602739726028
1160,1138316,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8190,9,6,0.0,6,False,22.438356164383563
1176,1138316,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,1,2,0.0,0.0,8194,9,6,0.0,6,False,22.44931506849315
1205,784379,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,0,2,0.0,0.0,9289,7,6,2.0,6,False,25.44931506849315
1229,784379,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,0,2,0.0,0.0,9293,7,6,0.0,6,False,25.46027397260274
1238,955235,2023-10-04 01:00:00,8,0,3638,3.0,1,1,1,0,0,0,1,1,2,0.0,0.0,10651,11,40,0.0,6,False,29.18082191780822
1250,784367,2023-01-03 13:30:00,8,6,713,3.0,3,0,1,0,0,0,1,4,0,0.0,0.0,9319,4,6,1.0,6,False,25.53150684931507
1257,784367,2023-01-07 13:30:00,8,6,2401,3.0,3,0,1,0,0,0,1,4,0,0.0,0.0,9323,5,6,1.0,6,False,25.542465753424658
1296,1181708,2023-07-23 09:30:00,4083,0,3083,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,8676,3,31,2.0,6,False,23.76986301369863
1297,1181708,2023-07-21 14:30:00,4083,30,237,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,8674,3,30,1.0,6,False,23.764383561643836
1305,1181708,2023-07-20 09:30:00,4083,0,237,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,8673,3,41,1.0,6,False,23.76164383561644
1311,465327,2023-01-15 11:00:00,9,9,260,3.0,1,0,1,0,0,0,1,6,2,0.0,0.0,11115,2,29,0.0,6,True,30.45205479452055
1417,1314061,2023-07-14 10:15:00,188,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11595,8,45,0.0,6,False,31.767123287671232
1434,1198946,2023-08-20 06:30:00,188,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15137,1,45,6.0,6,True,41.47123287671233
1435,1198946,2023-07-14 10:15:00,188,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15100,1,45,1.0,6,False,41.36986301369863
1438,1198946,2023-08-19 13:30:00,188,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15136,1,45,1.0,6,True,41.46849315068493
1439,1198946,2023-07-16 10:15:00,188,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,15102,1,161,0.0,6,False,41.37534246575343
1442,1198946,2023-07-13 14:00:00,188,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,15099,1,33,0.0,6,False,41.367123287671234
1445,1204127,2023-06-11 07:30:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11856,5,126,3.0,6,False,32.48219178082192
1452,1204127,2023-06-10 13:00:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11855,6,126,1.0,6,False,32.47945205479452
1467,1275723,2023-06-11 07:30:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12710,9,126,0.0,6,False,34.821917808219176
1513,1156477,2023-06-11 12:30:00,126,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13976,9,139,0.0,6,True,38.29041095890411
1531,514770,2023-06-24 14:00:00,114,114,3548,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,16237,4,209,0.0,6,True,44.484931506849314
1609,1046619,2023-10-05 08:00:00,18,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15229,1,5615,1.0,6,True,41.723287671232875
1610,1046619,2023-09-30 11:00:00,18,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15224,1,129,0.0,6,True,41.70958904109589
1612,1046619,2023-04-10 14:00:00,18,185,3567,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15051,1,185,0.0,6,False,41.23561643835617
1615,1046619,2023-05-07 16:30:00,18,18,3632,3.0,3,0,1,0,0,0,1,8,2,0.0,0.0,15078,11,45,0.0,6,True,41.30958904109589
1621,1046619,2023-10-05 12:00:00,18,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15229,1,5615,0.0,6,True,41.723287671232875
1628,523245,2023-05-07 16:30:00,18,18,3632,3.0,3,0,1,0,0,0,1,8,2,0.0,0.0,14305,8,45,0.0,6,True,39.19178082191781
1639,523245,2023-04-10 14:00:00,18,185,3567,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14278,6,185,0.0,6,False,39.11780821917808
1641,1198883,2023-06-11 12:30:00,126,126,3545,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9485,1,139,0.0,6,True,25.986301369863014
1674,1204131,2023-06-10 13:00:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15325,8,126,0.0,6,False,41.986301369863014
1679,1204131,2023-08-06 11:30:00,139,139,3644,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15382,3,123,1.0,6,True,42.14246575342466
1680,1204131,2023-06-11 07:30:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,15326,6,126,1.0,6,False,41.989041095890414
1688,1204126,2023-06-10 13:00:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13821,3,126,0.0,6,False,37.865753424657534
1691,1204126,2023-06-11 07:30:00,139,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13822,4,126,3.0,6,False,37.868493150684934
1694,1198945,2023-07-13 14:00:00,188,0,1870,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,12121,7,33,0.0,6,False,33.20821917808219
1714,1284209,2023-06-24 14:00:00,114,114,3548,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9637,1,209,1.0,6,True,26.4027397260274
1770,1314053,2023-06-11 12:30:00,126,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,10859,6,139,0.0,6,True,29.75068493150685
1792,1156473,2023-06-11 12:30:00,126,126,3545,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14935,4,139,3.0,6,True,40.917808219178085
1840,1204010,2023-07-12 14:00:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12155,11,33,0.0,6,True,33.3013698630137
1864,1204010,2023-08-20 11:30:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12194,11,188,1.0,6,False,33.40821917808219
1866,1204010,2023-08-19 06:00:00,45,188,3495,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12193,8,188,0.0,6,False,33.40547945205479
1878,1204010,2023-07-10 06:30:00,45,45,1870,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12153,11,33,0.0,6,True,33.295890410958904
1926,1233042,2023-05-05 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,16276,5,185,0.0,6,False,44.59178082191781
1955,1233042,2023-05-06 11:30:00,45,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,16277,6,18,0.0,6,False,44.59452054794521
1956,1233042,2023-05-05 17:30:00,45,18,3632,3.0,3,0,1,0,0,0,1,8,2,0.0,0.0,16276,8,18,0.0,6,False,44.59178082191781
1957,1233042,2023-05-04 11:00:00,45,0,3632,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,16275,8,185,1.0,6,False,44.58904109589041
1966,1204627,2023-10-05 08:00:00,18,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12810,5,5615,0.0,6,True,35.0958904109589
1967,1204627,2023-04-10 14:00:00,18,185,3567,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12632,8,185,0.0,6,False,34.608219178082194
1970,1204627,2023-05-07 16:30:00,18,18,3632,3.0,3,0,1,0,0,0,1,8,2,0.0,0.0,12659,6,45,3.0,6,True,34.68219178082192
1977,1204627,2023-10-05 12:00:00,18,18,3632,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12810,5,5615,0.0,6,True,35.0958904109589
1983,1156467,2023-05-21 08:30:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13246,3,204,0.0,6,False,36.29041095890411
1986,1156467,2023-05-19 09:00:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13244,3,175,0.0,6,False,36.28493150684932
1987,1156467,2023-05-18 13:30:00,131,13,1988,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13243,3,13,0.0,6,False,36.28219178082192
1996,1112200,2023-07-28 09:30:00,13,0,3083,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,7746,6,4083,0.0,6,False,21.221917808219178
1998,1112200,2023-07-25 09:30:00,13,0,237,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,7743,10,31,0.0,6,False,21.213698630136985
2000,403327,2023-05-21 08:30:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,11459,11,204,0.0,6,False,31.394520547945206
2009,403327,2023-05-19 09:00:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,11457,11,175,0.0,6,False,31.389041095890413
2019,1156457,2023-05-19 09:00:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,10598,1,175,0.0,6,False,29.035616438356165
2020,1156457,2023-05-18 13:30:00,131,13,1988,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,10597,2,13,0.0,6,False,29.03287671232877
2022,1156457,2023-05-21 08:30:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,10600,4,204,0.0,6,False,29.041095890410958
2036,1194056,2023-05-19 09:00:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13338,4,175,0.0,6,False,36.54246575342466
2037,1194056,2023-05-18 13:30:00,131,13,1988,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13337,8,13,1.0,6,False,36.53972602739726
2041,1194056,2023-05-21 08:30:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13340,8,204,0.0,6,False,36.54794520547945
2050,1156464,2023-05-18 13:30:00,131,13,1988,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,16275,4,13,0.0,6,False,44.58904109589041
2052,1156464,2023-05-21 08:30:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,16278,6,204,0.0,6,False,44.5972602739726
2063,1156462,2023-05-18 13:30:00,131,13,1988,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13749,9,13,0.0,6,False,37.66849315068493
2066,1156462,2023-05-21 08:30:00,131,0,3634,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13752,9,204,0.0,6,False,37.676712328767124
2072,581602,2023-05-19 13:30:00,175,0,3634,3.0,1,1,1,0,0,0,1,0,2,0.0,0.0,12295,6,204,0.0,6,False,33.68493150684932
2074,581602,2023-05-20 13:30:00,175,0,3634,3.0,1,1,1,0,0,0,1,0,2,0.0,0.0,12296,5,131,0.0,6,False,33.68767123287671
2076,518673,2023-02-26 08:30:00,200,200,2697,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,10973,5,147,0.0,6,True,30.063013698630137
2104,1046637,2023-02-25 13:15:00,200,200,2697,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,11622,1,147,0.0,6,True,31.84109589041096
2143,1312420,2023-02-24 13:15:00,200,200,2697,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12916,5,147,0.0,6,True,35.38630136986301
2149,1312420,2023-02-25 13:15:00,200,200,2697,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,12917,5,147,0.0,6,True,35.38904109589041
2188,526440,2023-08-14 13:00:00,1094,0,1123,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,9867,2,35,3.0,6,False,27.03287671232877
2196,303922,2023-08-14 13:00:00,1094,0,1123,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,12932,6,35,0.0,6,False,35.43013698630137
2204,1287099,2023-02-28 13:30:00,111,0,2034,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,14254,8,39,0.0,6,False,39.05205479452055
2206,1287099,2023-03-02 18:00:00,111,21,2034,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,14256,8,21,1.0,6,False,39.057534246575344
2207,1287099,2023-02-26 13:30:00,111,0,267,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,14252,5,183,0.0,6,False,39.04657534246575
2209,307238,2023-03-02 18:00:00,111,21,2034,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,12035,1,21,0.0,6,False,32.97260273972603
2211,307238,2023-02-26 13:30:00,111,0,267,3.0,1,1,1,0,0,0,1,6,0,0.0,0.0,12031,1,183,3.0,6,False,32.961643835616435
2219,307238,2023-02-28 13:30:00,111,0,2034,3.0,1,1,1,0,0,0,1,6,0,0.0,0.0,12033,1,39,1.0,6,False,32.967123287671235
2221,252878,2023-10-03 17:30:00,39,12,674,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,14047,6,12,0.0,6,False,38.484931506849314
2229,252878,2023-10-01 17:30:00,39,0,3494,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14045,9,17,0.0,6,False,38.47945205479452
2230,252878,2023-03-04 18:00:00,39,21,325,3.0,1,0,1,0,0,0,1,8,2,0.0,0.0,13834,9,21,0.0,6,False,37.9013698630137
2233,252878,2023-02-25 18:00:00,39,0,2034,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,13827,7,12,0.0,6,False,37.88219178082192
2234,252878,2023-10-04 13:00:00,39,0,674,3.0,1,1,1,0,0,0,1,8,2,0.0,0.0,14048,8,17,0.0,6,False,38.487671232876714
2236,531312,2023-08-28 11:45:00,34,191,3439,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9944,2,191,2.0,6,False,27.243835616438357
2237,531312,2023-06-18 11:00:00,34,26,700,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9873,1,26,3.0,6,False,27.04931506849315
2238,531312,2023-06-15 06:30:00,34,0,700,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,9870,2,191,1.0,6,False,27.041095890410958
2245,531312,2023-08-20 11:45:00,34,0,3439,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,9936,2,211,2.0,6,False,27.221917808219178
2246,531312,2023-06-17 06:30:00,34,0,700,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,9872,2,116,1.0,6,False,27.046575342465754
2247,531312,2023-06-11 11:00:00,34,0,700,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,9866,2,191,0.0,6,False,27.03013698630137
2250,531312,2023-08-31 08:45:00,34,191,3439,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9947,2,191,2.0,6,False,27.252054794520546
2251,531312,2023-08-27 11:45:00,34,191,3439,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9943,2,191,0.0,6,False,27.24109589041096
2252,531312,2023-06-10 11:00:00,34,26,700,3.0,1,0,1,0,0,0,1,8,0,0.0,0.0,9865,2,26,0.0,6,False,27.027397260273972
2260,531312,2023-06-09 11:00:00,34,0,700,3.0,1,1,1,0,0,0,1,8,0,0.0,0.0,9864,2,116,0.0,6,False,27.024657534246575
